number,name,status
639,Improving License Clarity with Better Package Metadata,Final
628,Add math.tau,Final
621,Storing project metadata in pyproject.toml,Standards Track
612,Parameter Specification Variables,Standards Track
613,Explicit Type Aliases,Final
610,Recording the Direct URL Origin of installed distributions,Standards Track
604,Allow writing union types as X,Standards Track
597,Add optional EncodingWarning,Final
600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,Standards Track
587,Python Initialization Configuration,Final
614,Relaxing Grammar Restrictions On Decorators,Standards Track
591,Adding a final qualifier to typing,Final
592,Adding “Yank” Support to the Simple API,Final
590,Vectorcall: a fast calling protocol for CPython,Standards Track
593,Flexible function and variable annotations,Final
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,Standards Track
578,Python Runtime Audit Hooks,Standards Track
573,Module State Access from C Extension Methods,Final
574,Pickle protocol 5 with out-of-band data,Standards Track
584,Add Union Operators To dict,Standards Track
570,Python Positional-Only Parameters,Final
572,Assignment Expressions,Final
567,Context Variables,Final
566,Metadata for Python Software Packages 2.1,Final
553,Built-in breakpoint(),Final
594,Removing dead batteries from the standard library,Standards Track
560,Core support for typing module and generic types,Final
562,Module __getattr__ and __dir__,Final
565,Show DeprecationWarning in __main__,Final
557,Data Classes,Final
564,Add new time functions with nanosecond resolution,Final
561,Distributing and Packaging Type Information,Final
585,Type Hinting Generics In Standard Collections,Standards Track
530,Asynchronous Comprehensions,Standards Track
540,Add a new UTF-8 Mode,Standards Track
527,Removing Un(der)used file types/extensions on PyPI,Final
529,Change Windows filesystem encoding to UTF-8,Final
528,Change Windows console encoding to UTF-8,Final
526,Syntax for Variable Annotations,Final
525,Asynchronous Generators,Standards Track
524,Make os.urandom() blocking on Linux,Final
544,Protocols: Structural subtyping (static duck typing),Final
586,Literal Types,Final
520,Preserving Class Attribute Definition Order,Final
515,Underscores in Numeric Literals,Final
538,Coercing the legacy C locale to a UTF-8 based locale,Standards Track
508,Dependency specification for Python Software Packages,Final
517,A build-system independent format for source trees,Final
506,Adding A Secrets Module To The Standard Library,Final
518,Specifying Minimum Build System Requirements for Python Projects,Final
503,Simple Repository API,Final
487,Simpler customisation of class creation,Final
492,Coroutines with async and await syntax,Standards Track
489,Multi-phase extension module initialization,Final
498,Literal String Interpolation,Final
488,Elimination of PYO files,Final
495,Local Time Disambiguation,Standards Track
477,Backport ensurepip (PEP 453) to Python 2.7,Standards Track
476,Enabling certificate verification by default for stdlib http clients,Final
486,Make the Python Launcher aware of virtual environments,Final
475,Retry system calls failing with EINTR,Standards Track
479,Change StopIteration handling inside generators,Final
454,Add a new tracemalloc module to trace Python memory allocations,Standards Track
461,Adding % formatting to bytes and bytearray,Final
466,Network Security Enhancements for Python 2.7.x,Final
485,A Function for testing approximate equality,Final
456,Secure and interchangeable hash algorithm,Standards Track
468,Preserving the order of **kwargs in a function.,Standards Track
453,Explicit bootstrapping of pip in Python installations,Standards Track
465,A dedicated infix operator for matrix multiplication,Final
484,Type Hints,Final
471,os.scandir() function – a better and faster directory iterator,Standards Track
442,Safe object finalization,Standards Track
448,Additional Unpacking Generalizations,Standards Track
445,Add new APIs to customize Python memory allocators,Standards Track
441,Improving Python ZIP Application Support,Standards Track
451,A ModuleSpec Type for the Import System,Final
450,Adding A Statistics Module To The Standard Library,Final
443,Single-dispatch generic functions,Standards Track
493,HTTPS verification migration tools for Python 2.7,Standards Track
446,Make newly created file descriptors non-inheritable,Final
425,Compatibility Tags for Built Distributions,Standards Track
424,A method for exposing a length hint,Final
435,Adding an Enum type to the Python standard library,Final
427,The Wheel Binary Package Format 1.0,Final
421,Adding sys.implementation,Standards Track
428,The pathlib module – object-oriented filesystem paths,Final
440,Version Identification and Dependency Specification,Final
412,Key-Sharing Dictionary,Final
409,Suppressing exception context,Final
418,"Add monotonic time, performance counter, and process time functions",Final
417,Including mock in the Standard Library,Final
415,Implement context suppression with exception attributes,Standards Track
436,The Argument Clinic DSL,Standards Track
414,Explicit Unicode Literal for Python 3.3,Final
405,Python Virtual Environments,Standards Track
397,Python launcher for Windows,Final
393,Flexible String Representation,Final
343,The “with” Statement,Final
341,Unifying try-except and try-finally,Final
338,Executing modules as scripts,Final
328,Imports: Multi-Line and Absolute/Relative,Final
324,subprocess - New process module,Final
519,Adding a file system path protocol,Final
342,Coroutines via Enhanced Generators,Final
331,Locale-Independent Float/String Conversions,Final
327,Decimal Data Type,Final
307,Extensions to the pickle protocol,Final
308,Conditional Expressions,Final
322,Reverse Iteration,Final
309,Partial Function Application,Final
302,New Import Hooks,Final
305,CSV File API,Standards Track
318,Decorators for Functions and Methods,Final
311,Simplified Global Interpreter Lock Acquisition for Extensions,Final
292,Simpler String Substitutions,Final
293,Codec Error Handling Callbacks,Final
289,Generator Expressions,Final
420,Implicit Namespace Packages,Final
552,Deterministic pycs,Final
274,Dict Comprehensions,Final
282,A Logging System,Final
285,Adding a bool type,Final
278,Universal Newline Support,Final
277,Unicode file name support for Windows NT,Final
279,The enumerate() built-in function,Final
523,Adding a frame evaluation API to CPython,Final
301,Package Index and Metadata for Distutils,Final
260,Simplify xrange(),Final
255,Simple Generators,Final
250,Using site-packages on Windows,Final
252,Making Types Look More Like Classes,Final
253,Subtyping Built-in Types,Final
263,Defining Python Source Code Encodings,Final
261,Support for “wide” Unicode characters,Final
235,Import on Case-Insensitive Platforms,Final
232,Function Attributes,Final
234,Iterators,Final
238,Changing the Division Operator,Final
217,Display Hook for Interactive Use,Final
264,Future statements in simulated shells,Final
223,Change the Meaning of \x Escapes,Final
221,Import As,Final
230,Warning Framework,Final
273,Import Modules from Zip Archives,Final
227,Statically Nested Scopes,Final
214,Extended Print Statement,Final
229,Using Distutils to Build Python,Final
218,Adding a Built-In Set Object Type,Final
202,List Comprehensions,Final
208,Reworking the Coercion Model,Final
237,Unifying Long Integers and Integers,Final
205,Weak References,Final
828,Supporting ‘yield from’ in asynchronous generators,Draft
835,Shorthand syntax for Annotated type metadata,Draft
201,Lockstep Iteration,Final
236,Back to the __future__,Final
100,Python Unicode Integration,Final
203,Augmented Assignments,Final
207,Rich Comparisons,Final
819,JSON Package Metadata,Draft
821,Support for unpacking TypedDicts in Callable type hints,Draft
827,Type Manipulation,Standards Track
825,Wheel Variants: Package Format,Draft
832,Virtual environment discovery,Standards Track
818,Adding the Core of the Pyodide Foreign Function Interface to Python,Draft
809,Stable ABI for the Future,Standards Track
786,Precision and modulo-precision flag format specifiers for integer fields,Draft
797,Shared Object Proxies,Standards Track
785,New methods for easier handling of ExceptionGroups,Draft
781,Make TYPE_CHECKING a built-in constant,Standards Track
802,Display Syntax for the Empty Set,Standards Track
789,Preventing task-cancellation bugs by limiting yield in async generators,Draft
817,Wheel Variants: Beyond Platform Tags,Standards Track
804,An external dependency registry and name mapping mechanism,Standards Track
830,Add timestamps to exceptions and tracebacks,Standards Track
767,Annotating Read-Only Attributes,Draft
764,Inline typed dictionaries,Draft
766,Explicit Priority Choices Among Multiple Indexes,Informational
777,How to Re-invent the Wheel,Standards Track
807,Index support for Trusted Publishing,Standards Track
780,ABI features as environment markers,Draft
771,Default Extras for Python Software Packages,Draft
813,The Pretty Print Protocol,Standards Track
746,Type checking Annotated metadata,Draft
748,A Unified TLS API for Python,Draft
752,Implicit namespaces for package repositories,Standards Track
744,JIT Compilation,Informational
755,Implicit namespace policy for PyPI,Process
718,Subscriptable functions,Draft
710,Recording the provenance of installed packages,Standards Track
720,Cross-compiling Python packages,Informational
725,Specifying external dependencies in pyproject.toml,Standards Track
822,Dedented Multiline String (d-string),Standards Track
711,PyBI: a standard format for distributing Python Binaries,Draft
671,Syntax for late-bound function argument defaults,Standards Track
603,Adding a frozenmap type to collections,Standards Track
833,Freezing the HTML simple repository API,Standards Track
638,Syntactic Macros,Standards Track
653,Precise Semantics for Pattern Matching,Draft
480,Surviving a Compromise of PyPI: End-to-end signing of packages,Draft
820,PySlot: Unified slot system for the C API,Standards Track
694,Upload 2.0 API for Python Package Indexes,Draft
467,Minor API improvements for binary sequences,Standards Track
808,Including static values in dynamic metadata,Standards Track
810,Explicit lazy imports,Standards Track
658,Serve Distribution Metadata in the Simple Repository API,Standards Track
783,Emscripten Packaging,Accepted
714,Rename dist-info-metadata in the Simple API,Accepted
793,PyModExport: A new entry point for C extension modules,Standards Track
794,Import Name Metadata,Standards Track
739,build-details.json 1.0 — a static description file for Python build details,Accepted
539,A New C-API for Thread-Local Storage in CPython,Standards Track
799,A dedicated profiling package for organizing Python profiling tools,Standards Track
8100,January 2019 Steering Council election,Final
8103,2022 Term Steering Council election,Informational
8101,2020 Term Steering Council election,Informational
8104,2023 Term Steering Council election,Informational
8105,2024 Term Steering Council election,Informational
8102,2021 Term Steering Council election,Informational
8106,2025 Term Steering Council election,Informational
8107,2026 Term Steering Council election,Informational
803,“abi3t”: Stable ABI for Free-Threaded Builds,Standards Track
458,Secure PyPI downloads with signed repository metadata,Standards Track
801,Reserved,Active
816,WASI Support,Informational
826,Python 3.16 Release Schedule,Active
8016,The Steering Council Model,Accepted
3333,Python Web Server Gateway Interface v1.0.1,Informational
8000,Python Language Governance Proposal Overview,Final
719,Python 3.13 Release Schedule,Active
693,Python 3.12 Release Schedule,Active
672,Unicode-related Security Considerations for Python,Active
733,An Evaluation of Python’s Public C API,Final
762,REPL-acing the default REPL,Informational
745,Python 3.14 Release Schedule,Active
776,Emscripten Support,Active
